artist_name,track_name,track_id,album_name,album_id,release_date,duration_ms,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
Nathaniel Bassey,Book Of Life,49jpHfICOlnYyZ5v9nlr0s,Someone's At The Door,7tmA7AWF5AsD8s74QnFmeL,2017-04-07,304274,26,False,0.481,0.123,7,-14.417,1,0.0415,0.965,0.0,0.147,0.541,145.642,3,[]
Nathaniel Bassey,I Love You / Ama Medly,1QFCWdekSrBxjvEoqcRnUo,Hallelujah Again (Revelation 19:3),5HjyQX3GmSbNBL1bG3D6Gf,2021-04-01,396344,24,False,0.405,0.345,0,-7.811,1,0.0267,0.786,0.0,0.122,0.272,71.964,4,[]
Nathaniel Bassey,"Great Jehovah, Great I Am",52Df3zi2xj378ajDETRK58,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,333307,23,False,0.348,0.419,10,-7.09,1,0.0276,0.284,0.0,0.362,0.141,135.74,4,[]
Nathaniel Bassey,Jesus Jesus,6tNYvzSE4S435Esa1vXn0b,Revival Flames,3ouj0BXXkGizxWYTtcPK3y,2017-05-08,452258,23,False,0.437,0.562,2,-6.298,1,0.0298,0.301,0.0,0.0881,0.218,75.882,4,[]
Nathaniel Bassey,Onise Iyanu (feat. Glorious Fountain Choir & Micah Stampley),2pCXo7m8mt9szW3Yx29V3Y,Onise Iyanu (feat. Glorious Fountain Choir & Micah Stampley),4QixthMsdoiq2mc9Pn6h6x,2016-08-03,368013,23,False,0.283,0.785,7,-4.665,1,0.0523,0.222,0.0,0.456,0.307,144.321,4,"['The Glorious Fountain Choir', 'Micah Stampley']"
Nathaniel Bassey,Sound the Trumpet - Intro,4lgMe4a6nVoGd73WvPmfoB,Hallelujah Again (Revelation 19:3),5HjyQX3GmSbNBL1bG3D6Gf,2021-04-01,44489,23,False,0.159,0.44,7,-5.817,1,0.0441,0.00436,0.933,0.205,0.03,108.783,3,[]
Nathaniel Bassey,Amen Chant,2X8DNWeQXTEx4deS2hRDKG,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,285227,23,False,0.541,0.583,1,-6.624,1,0.0296,0.0959,7.33e-05,0.116,0.0942,128.026,4,[]
Nathaniel Bassey,We Need You Now (feat. Cynthia Maccauley & Pa. Emiko Amotsuka),3RzXjaJZaAUd82YvOrbRHX,Revival Flames,3ouj0BXXkGizxWYTtcPK3y,2017-05-08,239125,23,False,0.437,0.358,10,-7.937,1,0.0368,0.583,0.0,0.115,0.213,124.495,4,"['Cynthia MacCauley', 'Pa. Emiko Amotsuka']"
Nathaniel Bassey,God of Love (feat. Mayra Alvarez & Morayo),5I30QBEHUP0FggaCKhjs3z,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,493227,23,False,0.337,0.45,1,-10.454,1,0.0295,0.0185,0.00327,0.112,0.069,74.903,4,"['Mayra Alvarez', 'Morayo']"
Nathaniel Bassey,Incredible Love (feat. Chris Morgan & Simpa Adaba),2FuWP3EjzImKRiGgF0GQVE,Incredible Love (feat. Chris Morgan & Simpa Adaba),1hOfadhpmXMxC5nURVwr0h,2017-04-08,346880,25,False,0.586,0.738,1,-5.419,1,0.0458,0.533,1.26e-06,0.313,0.581,155.905,4,"['Chris Morgan', 'Simpa Adaba']"
Nathaniel Bassey,Waiting,1JaATBMQwBvt4nLgKAQPIZ,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,216469,22,False,0.521,0.0697,0,-12.549,1,0.0347,0.981,0.000108,0.0978,0.326,135.908,4,[]
Nathaniel Bassey,So Amazing,4GaTfcY6STc9VnkJwqGdDE,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,349513,23,False,0.402,0.526,8,-8.348,1,0.0344,0.504,0.00038,0.12,0.259,167.834,4,[]
Nathaniel Bassey,Never the Same,4Ez8Le8Xsk0ZWcCHAyGYLY,Revival Flames,3ouj0BXXkGizxWYTtcPK3y,2017-05-08,182204,22,False,0.329,0.307,0,-7.525,1,0.0283,0.804,0.0,0.122,0.283,101.681,3,[]
Nathaniel Bassey,"Come, Lord Come",4ubTNebLBi6P2JrNpLdVFR,The Son of God (& Imela),17QFKUXHOJcDzNoDijDcXn,2014-12-01,226167,22,False,0.396,0.172,5,-11.621,1,0.029,0.891,0.000613,0.112,0.272,70.058,4,[]
Nathaniel Bassey,How Sweet the Name of Jesus Sounds,7EUSmLQEx1nfdylfXU9yTL,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,229187,21,False,0.644,0.59,5,-5.716,1,0.0341,0.629,0.00037,0.105,0.625,90.011,4,['Kaydee Numbere']
Nathaniel Bassey,Holy Spirit Come,3X6pMwuWBlfqJ6Ac9J50Ox,Someone's At The Door,7tmA7AWF5AsD8s74QnFmeL,2017-04-07,259605,19,False,0.212,0.106,10,-18.348,1,0.0368,0.923,1.03e-05,0.101,0.126,170.631,3,[]
Nathaniel Bassey,Intro (Doxology: Praise God from Whom All Blessings Flow),2xXhzrL40V6KSDAdvfHPHc,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,135320,21,False,0.182,0.67,10,-5.428,1,0.0371,0.159,0.116,0.35,0.28,79.631,4,[]
Nathaniel Bassey,Holy Is Your Name,3RtA7NMmZ7p2JoUhmVhcT6,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,315573,18,False,0.27,0.419,0,-7.469,1,0.0305,0.387,0.0,0.327,0.13,127.468,4,['Kikelomo Mudiaga']
Nathaniel Bassey,This Is Who I Am,5hjtvtKOWWzLYqEnLVUJmE,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,162480,18,False,0.538,0.133,10,-10.801,1,0.059,0.882,0.0,0.193,0.335,56.524,4,[]
Nathaniel Bassey,Let My Life,0vZ0EXWmGfd3eKDU1QpYiV,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,307840,18,False,0.56,0.472,7,-7.189,1,0.0401,0.335,7.64e-06,0.348,0.267,140.307,4,['Chris Delvan']
Nathaniel Bassey,Kore Enye Fonde (For He Is Good),0y3z0KqkGqVI8LLTdB6Nup,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,325573,18,False,0.258,0.502,0,-5.246,1,0.0288,0.592,0.0,0.107,0.228,139.475,4,['Eno Michael']
Nathaniel Bassey,When I Met Jesus (The Call),2AKdHuzUwrtTmS3jPlkHM7,Jesus: The Resurrection & the Life,2ZuDAvAdya2OEWNdFMtViZ,2018-12-02,259613,18,False,0.354,0.228,7,-12.789,1,0.032,0.6,0.000221,0.132,0.329,94.301,4,[]
Nathaniel Bassey,Who Compares,2pc2BWZzvZvQ7SMxr5pDDW,God of Love,2T2gLRnY1ylgkEWaEVuL1H,2013-12-01,281840,17,False,0.573,0.581,2,-8.849,1,0.039,0.226,0.0,0.173,0.439,152.049,4,['Love Song']
Nathaniel Bassey,You Are Holy,3SBHK8iUSvnpQaSExvaQzw,Someone's At The Door,7tmA7AWF5AsD8s74QnFmeL,2017-04-07,341342,16,False,0.588,0.407,0,-8.029,1,0.0296,0.508,0.0,0.0782,0.248,117.964,4,[]
